size	stage	time
15M	layer1	212.4276
15M	layer2	241.5404
15M	overlay	452.0184
30M	layer1	233.1228
30M	layer2	241.33180000000002
30M	overlay	435.639
45M	layer1	203.748
45M	layer2	229.1616
45M	overlay	448.42380000000003
60M	layer1	211.5484
60M	layer2	293.22633333333334
60M	overlay	473.83633333333336
