size	stage	time
15M	layer1	366.3554
15M	layer2	377.79720000000003
15M	overlay	579.337
30M	layer1	233.1228
30M	layer2	241.33180000000002
30M	overlay	435.639
45M	layer1	203.748
45M	layer2	229.1616
45M	overlay	448.42380000000003
60M	layer1	284.875
60M	layer2	268.2176666666667
60M	overlay	475.302
